id;source;type;rule;severity;file;startLine;startColumn;endLine;endColumn
d6f3bd3e-0557-4ef5-bbf1-a2cd48dd1524;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Category/Save.php;246;17;246;40
06822f5b-9850-4661-b371-d27451934318;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/AddAttributeToTemplate.php;220;13;220;36
6777c514-af84-4748-9e21-892dd87c5bdb;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Attribute.php;132;48;132;51
faa7be77-a13c-4c31-a804-8db2d0bab630;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Builder.php;109;17;109;40
8ee9d0a8-e584-425a-929e-b181bded7bca;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Duplicate.php;62;13;62;36
9f79b763-99f3-4133-bdfa-06ece05ee532;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/MassDelete.php;94;17;94;37
47990e09-e6ba-41e0-8b20-d0eca0f13d93;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Save.php;174;17;174;40
82a792b4-e200-4c6c-8b25-5a9b24902d4f;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Save.php;180;17;180;40
24f1f39a-1feb-4647-894e-c1135388997e;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Controller/Adminhtml/Product/Wysiwyg.php;60;66;60;69
2a6c4f80-96b5-4fb8-b5b7-290323da6136;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Category/View.php;193;13;193;36
2ec40d48-963d-4c05-91db-16391e6a6a3d;Snyk;VULNERABILITY;php/InsecureHash;MINOR;app/code/Magento/Catalog/Controller/Category/View.php;293;65;293;69
97fc7c5b-a8e0-4217-96be-3f78f650594f;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Controller/Product/View.php;184;13;184;36
82b2a28b-c111-4278-a162-8cf0e3dad139;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Helper/Image.php;588;13;588;37
020c6ca8-c5d8-425e-a506-259b8d92445a;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Helper/Product.php;473;13;473;37
984a1ff2-eeaa-45d7-9e91-18da7856f1d7;Snyk;VULNERABILITY;php/ServerLeak;MAJOR;app/code/Magento/Catalog/Helper/Product/Flat/Indexer.php;315;21;315;45
